program_name_and_version,EnergyPlus 9.3.0
program_version_release_date,03/27/2020
program_name_short,E+
results_submission_date,05/19/2020
organization,National Renewable Energy Laboratory
organization_short,NREL
CE410 ann_sum_evap_coil_load_total,64044.6
CE410 ann_sum_evap_coil_load_sensible,41885.9
CE410 ann_sum_evap_coil_load_latent,22158.7
CE410 ann_mean_cop_2,3.21937
CE410 ann_mean_idb,23.1733
CE410 ann_mean_zone_humidity_ratio,0.00976683
CE410 ann_mean_zone_relative_humidity,53.6893
CE420 ann_sum_clg_energy_consumption_total,32938.1
CE420 ann_sum_clg_energy_consumption_supply_fan,10862.1
CE420 ann_sum_evap_coil_load_total,71126.8
CE420 ann_sum_evap_coil_load_sensible,49343.2
CE420 ann_sum_evap_coil_load_latent,21783.6
CE420 ann_mean_cop_2,3.2219
CE420 ann_mean_idb,23.246
CE420 ann_mean_zone_humidity_ratio,0.00934481
CE420 ann_mean_zone_relative_humidity,51.3225
CE430 ann_sum_clg_energy_consumption_total,32101.9
CE430 ann_sum_clg_energy_consumption_supply_fan,10862.1
CE430 ann_sum_evap_coil_load_total,68354.2
CE430 ann_sum_evap_coil_load_sensible,46954.8
CE430 ann_sum_evap_coil_load_latent,21399.4
CE430 ann_mean_cop_2,3.21821
CE430 ann_mean_idb,23.2034
CE430 ann_mean_zone_humidity_ratio,0.00937541
CE430 ann_mean_zone_relative_humidity,51.6237
CE440 ann_sum_clg_energy_consumption_total,33265.5
CE440 ann_sum_clg_energy_consumption_supply_fan,10862.1
CE440 ann_sum_evap_coil_load_total,72310
CE440 ann_sum_evap_coil_load_sensible,49953.4
CE440 ann_sum_evap_coil_load_latent,22356.6
CE440 ann_mean_cop_2,3.22764
CE440 ann_mean_idb,23.3633
CE440 ann_mean_zone_humidity_ratio,0.00922494
CE440 ann_mean_zone_relative_humidity,50.2176
CE500 ann_sum_clg_energy_consumption_total,23072.3
CE500 ann_sum_clg_energy_consumption_supply_fan,2629.84
CE500 ann_sum_evap_coil_load_total,65589.7
CE500 ann_sum_evap_coil_load_sensible,47357.3
CE500 ann_sum_evap_coil_load_latent,18232.3
CE500 ann_mean_cop_2,3.20851
CE500 ann_mean_idb,20.432
CE500 ann_mean_zone_humidity_ratio,0.00915088
CE500 ann_mean_zone_relative_humidity,57.8808
CE520 ann_sum_clg_energy_consumption_total,25809.6
CE520 ann_sum_clg_energy_consumption_supply_fan,3140.1
CE520 ann_sum_evap_coil_load_total,66213.1
CE520 ann_sum_evap_coil_load_sensible,47983.6
CE520 ann_sum_evap_coil_load_latent,18229.5
CE520 ann_mean_cop_2,2.9208
CE520 ann_mean_idb,13.6518
CE520 ann_mean_zone_humidity_ratio,0.00601444
CE520 ann_mean_zone_relative_humidity,60.8222
CE522 ann_sum_clg_energy_consumption_total,24382
CE522 ann_sum_clg_energy_consumption_supply_fan,2878.19
CE522 ann_sum_evap_coil_load_total,65893.8
CE522 ann_sum_evap_coil_load_sensible,47663
CE522 ann_sum_evap_coil_load_latent,18230.8
CE522 ann_mean_cop_2,3.06428
CE522 ann_mean_idb,17.0603
CE522 ann_mean_zone_humidity_ratio,0.00748222
CE522 ann_mean_zone_relative_humidity,59.6214
CE525 ann_sum_clg_energy_consumption_total,20777.9
CE525 ann_sum_clg_energy_consumption_supply_fan,2191.56
CE525 ann_sum_evap_coil_load_total,65028.4
CE525 ann_sum_evap_coil_load_sensible,46796.1
CE525 ann_sum_evap_coil_load_latent,18232.3
CE525 ann_mean_cop_2,3.49873
CE525 ann_mean_idb,27.1572
CE525 ann_mean_zone_humidity_ratio,0.0133861
CE525 ann_mean_zone_relative_humidity,53.6681
CE530 ann_sum_clg_energy_consumption_total,17988.6
CE530 ann_sum_clg_energy_consumption_supply_fan,2120.72
CE530 ann_sum_evap_coil_load_total,46987.1
CE530 ann_sum_evap_coil_load_sensible,46986.9
CE530 ann_sum_evap_coil_load_latent,0.228875
CE530 ann_mean_cop_2,2.96115
CE530 ann_mean_idb,20.5839
CE530 ann_mean_zone_humidity_ratio,0.00647992
CE530 ann_mean_zone_relative_humidity,47.5468
CE540 ann_sum_clg_energy_consumption_total,20117.2
CE540 ann_sum_clg_energy_consumption_supply_fan,2492.89
CE540 ann_sum_evap_coil_load_total,47480.9
CE540 ann_sum_evap_coil_load_sensible,47472.1
CE540 ann_sum_evap_coil_load_latent,8.85795
CE540 ann_mean_cop_2,2.69405
CE540 ann_mean_idb,13.7912
CE540 ann_mean_zone_humidity_ratio,0.00433698
CE540 ann_mean_zone_relative_humidity,46.1865
CE545 ann_sum_clg_energy_consumption_total,16603.4
CE545 ann_sum_clg_energy_consumption_supply_fan,1864.21
CE545 ann_sum_evap_coil_load_total,46634.3
CE545 ann_sum_evap_coil_load_sensible,46634.3
CE545 ann_sum_evap_coil_load_latent,3.44919e-12
CE545 ann_mean_cop_2,3.16397
CE545 ann_mean_idb,27.3105
CE545 ann_mean_zone_humidity_ratio,0.00673573
CE545 ann_mean_zone_relative_humidity,38.6216
CE500 May-Sep may_sept_sum_clg_consumption_total,18027.8
CE500 May-Sep may_sept_sum_clg_consumption_indoor_fan,2030.2
CE500 May-Sep may_sept_sum_evap_coil_load_total,50355.2
CE500 May-Sep may_sept_sum_evap_coil_load_sensible,36364.7
CE500 May-Sep may_sept_sum_evap_coil_load_latent,13990.6
CE500 May-Sep may_sept_mean_cop_2,3.14768
CE500 May-Sep may_sept_mean_idb,24.9827
CE500 May-Sep may_sept_mean_zone_humidity_ratio,0.0109982
CE500 May-Sep may_sept_mean_zone_relative_humidity,55.6544
CE510 May-Sep may_sept_sum_clg_consumption_total,35786.2
CE510 May-Sep may_sept_sum_clg_consumption_indoor_fan,4064.84
CE510 May-Sep may_sept_sum_evap_coil_load_total,112794
CE510 May-Sep may_sept_sum_evap_coil_load_sensible,81314.5
CE510 May-Sep may_sept_sum_evap_coil_load_latent,31479.4
CE510 May-Sep may_sept_mean_cop_2,3.55577
CE510 May-Sep may_sept_mean_idb,24.9597
CE510 May-Sep may_sept_mean_zone_humidity_ratio,0.0110066
CE510 May-Sep may_sept_mean_zone_relative_humidity,55.7723
CE300 energy_consumption_comp_both_fans_wh,11995.4
CE300 energy_consumption_comp_both_fans_date,20-Jul
CE300 energy_consumption_comp_both_fans_hr,15
CE300 evap_coil_load_sensible_wh,23463.7
CE300 evap_coil_load_sensible_date,20-Jul
CE300 evap_coil_load_sensible_hr,15
CE300 evap_coil_load_latent_wh,10597.2
CE300 evap_coil_load_latent_date,10-Jul
CE300 evap_coil_load_latent_hr,13
CE300 evap_coil_load_sensible_and_latent_wh,33060.4
CE300 evap_coil_load_sensible_and_latent_date,20-Jul
CE300 evap_coil_load_sensible_and_latent_hr,15
CE300 CE300 weather_odb_c,34.775
CE300 CE300 weather_odb_date,20-Jul
CE300 CE300 weather_odb_hr,15
CE300 CE300 weather_outdoor_humidity_ratio_c,0.0218679
CE300 CE300 weather_outdoor_humidity_ratio_date,02-Oct
CE300 CE300 weather_outdoor_humidity_ratio_hr,9
CE310 energy_consumption_comp_both_fans_wh,12573.3
CE310 energy_consumption_comp_both_fans_date,20-Jul
CE310 energy_consumption_comp_both_fans_hr,15
CE310 evap_coil_load_sensible_wh,23148.2
CE310 evap_coil_load_sensible_date,11-Jul
CE310 evap_coil_load_sensible_hr,16
CE310 evap_coil_load_latent_wh,16647
CE310 evap_coil_load_latent_date,04-Aug
CE310 evap_coil_load_latent_hr,15
CE310 evap_coil_load_sensible_and_latent_wh,37377.5
CE310 evap_coil_load_sensible_and_latent_date,17-Sep
CE310 evap_coil_load_sensible_and_latent_hr,15
CE320 energy_consumption_comp_both_fans_wh,12990.4
CE320 energy_consumption_comp_both_fans_date,20-Jul
CE320 energy_consumption_comp_both_fans_hr,15
CE320 evap_coil_load_sensible_wh,31540.3
CE320 evap_coil_load_sensible_date,24-Apr
CE320 evap_coil_load_sensible_hr,15
CE320 evap_coil_load_latent_wh,22758.8
CE320 evap_coil_load_latent_date,02-Oct
CE320 evap_coil_load_latent_hr,10
CE320 evap_coil_load_sensible_and_latent_wh,40101.1
CE320 evap_coil_load_sensible_and_latent_date,02-Oct
CE320 evap_coil_load_sensible_and_latent_hr,10
CE330 energy_consumption_comp_both_fans_wh,13358.2
CE330 energy_consumption_comp_both_fans_date,20-Jul
CE330 energy_consumption_comp_both_fans_hr,15
CE330 evap_coil_load_sensible_wh,34692.7
CE330 evap_coil_load_sensible_date,14-Jun
CE330 evap_coil_load_sensible_hr,14
CE330 evap_coil_load_latent_wh,27598.1
CE330 evap_coil_load_latent_date,18-Sep
CE330 evap_coil_load_latent_hr,16
CE330 evap_coil_load_sensible_and_latent_wh,43602.8
CE330 evap_coil_load_sensible_and_latent_date,02-Oct
CE330 evap_coil_load_sensible_and_latent_hr,9
CE340 energy_consumption_comp_both_fans_wh,13176.7
CE340 energy_consumption_comp_both_fans_date,20-Jul
CE340 energy_consumption_comp_both_fans_hr,15
CE340 evap_coil_load_sensible_wh,32754.2
CE340 evap_coil_load_sensible_date,24-Apr
CE340 evap_coil_load_sensible_hr,15
CE340 evap_coil_load_latent_wh,24438.8
CE340 evap_coil_load_latent_date,02-Oct
CE340 evap_coil_load_latent_hr,10
CE340 evap_coil_load_sensible_and_latent_wh,41613.3
CE340 evap_coil_load_sensible_and_latent_date,02-Oct
CE340 evap_coil_load_sensible_and_latent_hr,10
CE350 energy_consumption_comp_both_fans_wh,11995.4
CE350 energy_consumption_comp_both_fans_date,20-Jul
CE350 energy_consumption_comp_both_fans_hr,15
CE350 evap_coil_load_sensible_wh,23463.6
CE350 evap_coil_load_sensible_date,20-Jul
CE350 evap_coil_load_sensible_hr,15
CE350 evap_coil_load_latent_wh,10597.7
CE350 evap_coil_load_latent_date,10-Jul
CE350 evap_coil_load_latent_hr,13
CE350 evap_coil_load_sensible_and_latent_wh,33060.3
CE350 evap_coil_load_sensible_and_latent_date,20-Jul
CE350 evap_coil_load_sensible_and_latent_hr,15
CE360 energy_consumption_comp_both_fans_wh,12778
CE360 energy_consumption_comp_both_fans_date,20-Jul
CE360 energy_consumption_comp_both_fans_hr,15
CE360 evap_coil_load_sensible_wh,32414.3
CE360 evap_coil_load_sensible_date,24-Apr
CE360 evap_coil_load_sensible_hr,16
CE360 evap_coil_load_latent_wh,8914.23
CE360 evap_coil_load_latent_date,02-Oct
CE360 evap_coil_load_latent_hr,10
CE360 evap_coil_load_sensible_and_latent_wh,38701.1
CE360 evap_coil_load_sensible_and_latent_date,02-Oct
CE360 evap_coil_load_sensible_and_latent_hr,11
CE400 energy_consumption_comp_both_fans_wh,11995.4
CE400 energy_consumption_comp_both_fans_date,20-Jul
CE400 energy_consumption_comp_both_fans_hr,15
CE400 evap_coil_load_sensible_wh,23463.7
CE400 evap_coil_load_sensible_date,20-Jul
CE400 evap_coil_load_sensible_hr,15
CE400 evap_coil_load_latent_wh,22716
CE400 evap_coil_load_latent_date,17-Jun
CE400 evap_coil_load_latent_hr,16
CE400 evap_coil_load_sensible_and_latent_wh,39126.4
CE400 evap_coil_load_sensible_and_latent_date,25-Oct
CE400 evap_coil_load_sensible_and_latent_hr,15
CE410 energy_consumption_comp_both_fans_wh,11995.4
CE410 energy_consumption_comp_both_fans_date,20-Jul
CE410 energy_consumption_comp_both_fans_hr,15
CE410 evap_coil_load_sensible_wh,23463.7
CE410 evap_coil_load_sensible_date,20-Jul
CE410 evap_coil_load_sensible_hr,15
CE410 evap_coil_load_latent_wh,22716
CE410 evap_coil_load_latent_date,17-Jun
CE410 evap_coil_load_latent_hr,16
CE410 evap_coil_load_sensible_and_latent_wh,39126.4
CE410 evap_coil_load_sensible_and_latent_date,25-Oct
CE410 evap_coil_load_sensible_and_latent_hr,15
CE420 energy_consumption_comp_both_fans_wh,11995.4
CE420 energy_consumption_comp_both_fans_date,20-Jul
CE420 energy_consumption_comp_both_fans_hr,15
CE420 evap_coil_load_sensible_wh,23463.7
CE420 evap_coil_load_sensible_date,20-Jul
CE420 evap_coil_load_sensible_hr,15
CE420 evap_coil_load_latent_wh,10597.2
CE420 evap_coil_load_latent_date,10-Jul
CE420 evap_coil_load_latent_hr,13
CE420 evap_coil_load_sensible_and_latent_wh,33060.4
CE420 evap_coil_load_sensible_and_latent_date,20-Jul
CE420 evap_coil_load_sensible_and_latent_hr,15
CE430 energy_consumption_comp_both_fans_wh,11995.4
CE430 energy_consumption_comp_both_fans_date,20-Jul
CE430 energy_consumption_comp_both_fans_hr,15
CE430 evap_coil_load_sensible_wh,23463.7
CE430 evap_coil_load_sensible_date,20-Jul
CE430 evap_coil_load_sensible_hr,15
CE430 evap_coil_load_latent_wh,11374.2
CE430 evap_coil_load_latent_date,24-Oct
CE430 evap_coil_load_latent_hr,13
CE430 evap_coil_load_sensible_and_latent_wh,33060.4
CE430 evap_coil_load_sensible_and_latent_date,20-Jul
CE430 evap_coil_load_sensible_and_latent_hr,15
CE440 energy_consumption_comp_both_fans_wh,11995.4
CE440 energy_consumption_comp_both_fans_date,20-Jul
CE440 energy_consumption_comp_both_fans_hr,15
CE440 evap_coil_load_sensible_wh,23463.7
CE440 evap_coil_load_sensible_date,20-Jul
CE440 evap_coil_load_sensible_hr,15
CE440 evap_coil_load_latent_wh,10597.2
CE440 evap_coil_load_latent_date,10-Jul
CE440 evap_coil_load_latent_hr,13
CE440 evap_coil_load_sensible_and_latent_wh,33060.4
CE440 evap_coil_load_sensible_and_latent_date,20-Jul
CE440 evap_coil_load_sensible_and_latent_hr,15
CE500 energy_consumption_comp_both_fans_wh,10437.2
CE500 energy_consumption_comp_both_fans_date,20-Jul
CE500 energy_consumption_comp_both_fans_hr,15
CE500 evap_coil_load_sensible_wh,19795.5
CE500 evap_coil_load_sensible_date,20-Jul
CE500 evap_coil_load_sensible_hr,15
CE500 evap_coil_load_latent_wh,7908.93
CE500 evap_coil_load_latent_date,29-Jun
CE500 evap_coil_load_latent_hr,16
CE500 evap_coil_load_sensible_and_latent_wh,27656.1
CE500 evap_coil_load_sensible_and_latent_date,29-Jun
CE500 evap_coil_load_sensible_and_latent_hr,16
CE500 May-Sep energy_consumption_comp_both_fans_wh,11449.4
CE500 May-Sep energy_consumption_comp_both_fans_date,20-Jul
CE500 May-Sep energy_consumption_comp_both_fans_hr,15
CE500 May-Sep evap_coil_load_sensible_wh,22227.7
